Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,AnnualTotal,Textbox4
2025,276999,409449,845724,986442,1114160,1336144,1435337,998056,981366,1561683,867677,714902,11527939,-0.054
2024,407804,472412,872124,951189,1266832,1378182,1385854,1150247,1015889,1510684,1016062,764555,12191834,-0.083
2023,459626,506742,879991,1026754,1229626,1545906,1609741,1289406,1307865,1704922,975806,761262,13297647,0.028
2022,409267,536592,878917,1014878,1227558,1486757,1560696,1266172,1315818,1624908,945444,670626,12937633,-0.086
2021,525801,502459,931060,1169469,1363183,1539247,1730987,1398161,1355599,1633547,1155227,856808,14161548,0.171
2020,438509,426839,487535,99371,828792,1535660,1726187,1544254,1400171,1739720,1091098,777584,12095720,-0.036
2019,496743,421770,786305,999259,1096056,1469857,1613133,1411231,1273326,1408013,851419,720631,12547743,0.099
2018,320864,399156,689235,820657,985145,1401741,1468273,1195360,1369637,1263665,867110,640357,11421200,0.007
2017,382161,457921,690615,867375,907646,1304711,1492508,1235188,1282168,1336369,817238,564993,11338893,0.002
2016,379730,353532,778211,859420,1018224,1364138,1464456,1183778,1165098,1466584,810894,468721,11312786,0.056
2015,373315,244214,598835,794886,1017955,1307646,1441603,1208882,1096723,1353454,707576,567585,10712674,0.061
2014,275353,296451,509454,724987,900900,1305063,1445328,1213262,978105,1303450,636596,510327,10099276,0.08
2013,265633,252437,465594,636677,885960,1321821,1399567,1040021,1060237,847616,688430,490702,9354695,-0.034
2012,269282,353390,611326,745545,799760,1202056,1392067,1081025,982942,1144273,623636,480527,9685829,0.075
2011,214609,315206,502501,690037,727237,1121001,1342491,1002603,882269,1133530,605743,471603,9008830,-0.048
2010,303318,239587,505950,848946,792980,1359978,1403978,947311,845410,1252357,621211,342512,9463538,-0.003
2009,323614,334515,521140,770585,788974,1181938,1404034,1035277,845655,1052137,708797,524771,9491437,0.049
2008,322865,340558,553078,628593,783847,1063589,1257396,1049206,819816,1096711,652023,476328,9044010,-0.035
2007,350818,342540,564878,701353,810438,1116371,1313210,1011693,951432,1092798,677203,439519,9372253,0.009
2006,363998,332912,557555,725298,732978,1113186,1280865,920331,928487,1128927,702589,502089,9289215,0.011
2005,345009,347144,524650,652265,767056,1124130,1333994,997352,854342,1054311,721684,470540,9192477,0.003
2004,307017,336212,506804,675350,774049,1076888,1355683,1002046,876758,1158267,630539,467433,9167046,-0.021
2003,305430,332223,533896,701080,780366,1156774,1326666,1109676,807827,1239051,658929,414927,9366845,0.005
2002,287352,350391,522266,674470,789882,1159339,1359477,1090431,947207,1104852,676504,354249,9316420,0.013
2001,297855,362356,467539,706543,758423,1085811,1373170,1121119,989884,1095602,595586,343809,9197697,-0.096
2000,311269,443683,525438,725456,847421,1167097,1703605,1147933,1009287,1208590,668947,417086,10175812,-0.01
1999,302467,352912,454227,745755,877679,1250890,1674267,1206176,1081556,1136547,741325,459797,10283598,0.029
1998,263020,325269,472838,696321,847434,1145571,1672297,1184421,1047938,1179433,729487,425366,9989395,0.002
1997,238794,338695,483391,652729,764021,1091996,1743996,1362372,1029761,1181685,624029,453606,9965075,0.075
1996,230199,380652,387653,651175,774385,1137719,1394781,1156114,970447,1182349,552780,447413,9265667,0.02
1995,264477,277224,445804,678827,691175,1165049,1351579,1171837,953804,1070437,532510,477697,9080420,0.052
1994,249289,293089,401451,619504,708517,966509,1328303,1227940,884902,1049209,490559,408902,8628174,-0.071
1993,339368,295074,293778,595500,771472,1081371,1558223,1335131,1004463,1165569,500087,343812,9283848,0.039
1992,284355,300251,372618,645468,761708,1028665,1442585,1169735,923424,1184533,471507,346841,8931690,0.032
1991,192460,233412,347276,585688,734033,1035972,1409216,1311019,905908,1141505,454762,303208,8654459,0.062
1990,189278,234866,373267,596641,626377,1061642,1394539,1157840,913993,888411,467715,247200,8151769,-0.022
1989,213529,199584,340842,506690,812193,1195096,1339906,1230564,809478,1076715,418785,190171,8333553,-0.05
1988,170684,175550,309014,504296,664326,1245652,1669578,1470611,986914,969400,389468,215288,8770781,-0.141
1987,260147,227936,414925,569557,868493,1316697,1627542,1512732,990046,1576500,568460,276806,10209841,0.038
1986,206496,200270,456909,648885,825357,1283519,1761918,1400438,920431,1285355,560364,286364,9836306,0.055
1985,173985,198370,421954,598858,631697,1215802,1610633,1391083,996027,1340475,503174,237232,9319290,0.095
1984,157610,231147,300499,545683,638056,1140590,1444870,1281509,925574,1133674,430276,278902,8508390,0.009
1983,175036,211183,288660,471963,682613,1059355,1525959,1252083,880366,1266199,433778,188280,8435475,0.032
1982,136548,182549,239607,519507,861200,1079651,1317822,1186826,885909,1227267,341524,199459,8177869,-0.016
1981,195467,200825,270349,605239,736726,1079198,1378610,1367634,813246,1107413,357166,201011,8312884,-0.015
1980,207662,192198,259715,553448,715996,1105867,1439447,1410230,802476,1075611,447716,230587,8440953,0.053
1979,130261,160764,309163,650485,666017,994065,1324322,1274155,779102,1114291,377640,239523,8019788,
