"","Year","month","attendance","AnnualTotal","percent","month_num","date"
"1",2025,"JAN",276999,11527939,-0.054,1,2025-01-01
"2",2025,"FEB",409449,11527939,-0.054,2,2025-02-01
"3",2025,"MAR",845724,11527939,-0.054,3,2025-03-01
"4",2025,"APR",986442,11527939,-0.054,4,2025-04-01
"5",2025,"MAY",1114160,11527939,-0.054,5,2025-05-01
"6",2025,"JUN",1336144,11527939,-0.054,6,2025-06-01
"7",2025,"JUL",1435337,11527939,-0.054,7,2025-07-01
"8",2025,"AUG",998056,11527939,-0.054,8,2025-08-01
"9",2025,"SEP",981366,11527939,-0.054,9,2025-09-01
"10",2025,"OCT",1561683,11527939,-0.054,10,2025-10-01
"11",2025,"NOV",867677,11527939,-0.054,11,2025-11-01
"12",2025,"DEC",714902,11527939,-0.054,12,2025-12-01
"13",2024,"JAN",407804,12191834,-0.083,1,2024-01-01
"14",2024,"FEB",472412,12191834,-0.083,2,2024-02-01
"15",2024,"MAR",872124,12191834,-0.083,3,2024-03-01
"16",2024,"APR",951189,12191834,-0.083,4,2024-04-01
"17",2024,"MAY",1266832,12191834,-0.083,5,2024-05-01
"18",2024,"JUN",1378182,12191834,-0.083,6,2024-06-01
"19",2024,"JUL",1385854,12191834,-0.083,7,2024-07-01
"20",2024,"AUG",1150247,12191834,-0.083,8,2024-08-01
"21",2024,"SEP",1015889,12191834,-0.083,9,2024-09-01
"22",2024,"OCT",1510684,12191834,-0.083,10,2024-10-01
"23",2024,"NOV",1016062,12191834,-0.083,11,2024-11-01
"24",2024,"DEC",764555,12191834,-0.083,12,2024-12-01
"25",2023,"JAN",459626,13297647,0.028,1,2023-01-01
"26",2023,"FEB",506742,13297647,0.028,2,2023-02-01
"27",2023,"MAR",879991,13297647,0.028,3,2023-03-01
"28",2023,"APR",1026754,13297647,0.028,4,2023-04-01
"29",2023,"MAY",1229626,13297647,0.028,5,2023-05-01
"30",2023,"JUN",1545906,13297647,0.028,6,2023-06-01
"31",2023,"JUL",1609741,13297647,0.028,7,2023-07-01
"32",2023,"AUG",1289406,13297647,0.028,8,2023-08-01
"33",2023,"SEP",1307865,13297647,0.028,9,2023-09-01
"34",2023,"OCT",1704922,13297647,0.028,10,2023-10-01
"35",2023,"NOV",975806,13297647,0.028,11,2023-11-01
"36",2023,"DEC",761262,13297647,0.028,12,2023-12-01
"37",2022,"JAN",409267,12937633,-0.086,1,2022-01-01
"38",2022,"FEB",536592,12937633,-0.086,2,2022-02-01
"39",2022,"MAR",878917,12937633,-0.086,3,2022-03-01
"40",2022,"APR",1014878,12937633,-0.086,4,2022-04-01
"41",2022,"MAY",1227558,12937633,-0.086,5,2022-05-01
"42",2022,"JUN",1486757,12937633,-0.086,6,2022-06-01
"43",2022,"JUL",1560696,12937633,-0.086,7,2022-07-01
"44",2022,"AUG",1266172,12937633,-0.086,8,2022-08-01
"45",2022,"SEP",1315818,12937633,-0.086,9,2022-09-01
"46",2022,"OCT",1624908,12937633,-0.086,10,2022-10-01
"47",2022,"NOV",945444,12937633,-0.086,11,2022-11-01
"48",2022,"DEC",670626,12937633,-0.086,12,2022-12-01
"49",2021,"JAN",525801,14161548,0.171,1,2021-01-01
"50",2021,"FEB",502459,14161548,0.171,2,2021-02-01
"51",2021,"MAR",931060,14161548,0.171,3,2021-03-01
"52",2021,"APR",1169469,14161548,0.171,4,2021-04-01
"53",2021,"MAY",1363183,14161548,0.171,5,2021-05-01
"54",2021,"JUN",1539247,14161548,0.171,6,2021-06-01
"55",2021,"JUL",1730987,14161548,0.171,7,2021-07-01
"56",2021,"AUG",1398161,14161548,0.171,8,2021-08-01
"57",2021,"SEP",1355599,14161548,0.171,9,2021-09-01
"58",2021,"OCT",1633547,14161548,0.171,10,2021-10-01
"59",2021,"NOV",1155227,14161548,0.171,11,2021-11-01
"60",2021,"DEC",856808,14161548,0.171,12,2021-12-01
"61",2020,"JAN",438509,12095720,-0.036,1,2020-01-01
"62",2020,"FEB",426839,12095720,-0.036,2,2020-02-01
"63",2020,"MAR",487535,12095720,-0.036,3,2020-03-01
"64",2020,"APR",99371,12095720,-0.036,4,2020-04-01
"65",2020,"MAY",828792,12095720,-0.036,5,2020-05-01
"66",2020,"JUN",1535660,12095720,-0.036,6,2020-06-01
"67",2020,"JUL",1726187,12095720,-0.036,7,2020-07-01
"68",2020,"AUG",1544254,12095720,-0.036,8,2020-08-01
"69",2020,"SEP",1400171,12095720,-0.036,9,2020-09-01
"70",2020,"OCT",1739720,12095720,-0.036,10,2020-10-01
"71",2020,"NOV",1091098,12095720,-0.036,11,2020-11-01
"72",2020,"DEC",777584,12095720,-0.036,12,2020-12-01
"73",2019,"JAN",496743,12547743,0.099,1,2019-01-01
"74",2019,"FEB",421770,12547743,0.099,2,2019-02-01
